交易日期,市场风险溢价因子(流通市值加权),市场风险溢价因子(总市值加权),市值因子(流通市值加权),市值因子(总市值加权),帐面市值比因子(流通市值加权),帐面市值比因子(总市值加权),盈利能力因子(流通市值加权),盈利能力因子(总市值加权),投资模式因子(流通市值加权),投资模式因子(总市值加权)
2020-08-06,-0.000457,-0.000659,-0.001922,-0.002132,0.003731,0.003766,-0.007385,-0.008176,0.003748,0.004734
2020-08-07,-0.010976,-0.010939,-0.000249,-3.3e-05,0.001426,0.002787,-0.000208,-0.001273,0.002059,0.001656
2020-08-10,0.005386,0.005443,0.005249,0.00444,0.008407,0.006961,0.001066,0.000307,-0.003711,-0.003015
2020-08-11,-0.011938,-0.012465,-0.007888,-0.007487,0.001405,0.001002,0.005153,0.005788,-0.002521,-0.002045
2020-08-12,-0.007391,-0.008112,0.003699,0.002653,0.011035,0.009255,-0.005565,-0.007131,0.005369,0.006575
2020-08-13,0.000371,0.000236,0.006731,0.006196,0.003278,0.003172,-0.008213,-0.00916,0.006035,0.006271
2020-08-14,0.012938,0.012303,-0.00591,-0.005304,-0.008789,-0.008,0.00473,0.004954,-0.006788,-0.00614
2020-08-17,0.022545,0.022306,-0.00162,-0.000492,-3.1e-05,0.001762,-0.000222,-0.000657,-0.00365,-0.003129
2020-08-18,0.003284,0.003583,0.006142,0.006577,-0.005582,-0.005865,-0.000712,0.001307,-0.000278,-0.001257
2020-08-19,-0.014794,-0.015244,0.001258,0.000274,0.009517,0.009434,0.001495,-0.000402,0.004457,0.005122
2020-08-20,-0.012831,-0.012669,0.001831,0.002033,0.000629,7.9e-05,0.001576,0.00203,0.002237,0.001755
2020-08-21,0.007257,0.007612,-0.000224,5.1e-05,-0.002454,-0.001709,0.006136,0.007016,-0.003429,-0.004464
2020-08-24,0.007315,0.016282,-0.000402,0.000189,-0.008715,-0.009624,0.005451,0.006192,-0.002863,-0.003242
2020-08-25,-0.001078,-0.0008,0.003789,0.005361,-0.006555,-0.005432,0.006107,0.005631,-0.00509,-0.004919
2020-08-26,-0.014023,-0.015429,-0.005035,-0.005488,0.00335,0.002213,0.004666,0.004073,-0.002513,-0.000821
2020-08-27,0.00658,0.006772,0.00779,0.007306,-0.007456,-0.00754,-0.00239,-0.001449,-0.000427,-0.000462
2020-08-28,0.017322,0.01714,-0.010158,-0.009476,-0.006638,-0.006297,0.004481,0.004081,-0.00635,-0.007001
2020-08-31,-0.003539,-0.003543,0.004976,0.005339,-0.000857,-0.000693,-0.000357,-0.000485,0.002432,0.002825
2020-09-01,0.005553,0.007197,0.001355,0.001427,-0.005351,-0.005916,0.001132,0.001135,-0.00023,-5.1e-05
2020-09-02,0.00034,0.000497,0.010268,0.009911,-0.00699,-0.007882,0.000126,0.000151,0.001501,0.00253
2020-09-03,-0.006838,-0.006992,-0.002729,-0.002817,0.00085,0.000591,-0.000412,-0.000801,0.002691,0.002394
2020-09-04,-0.007253,-0.007013,0.01042,0.009466,0.00062,-0.000654,-0.011099,-0.012655,0.009337,0.00989
2020-09-07,-0.018148,-0.019086,0.011998,0.010831,0.009006,0.00737,-0.008255,-0.011715,0.011434,0.014055
2020-09-08,0.007412,0.006654,0.007131,0.005961,0.007203,0.005654,-0.009516,-0.01102,0.00649,0.007509
2020-09-09,-0.021976,-0.023404,-0.003352,-0.004413,0.016722,0.016102,-0.003636,-0.007719,0.005564,0.007305
2020-09-10,-0.010725,-0.011495,-0.034669,-0.032952,0.004879,0.006899,0.020277,0.021867,-0.016868,-0.01944
2020-09-11,0.01025,0.010953,0.005094,0.004756,-0.00887,-0.008626,0.004436,0.00572,-0.003373,-0.004058
2020-09-14,0.00686,0.007484,0.011884,0.011587,-0.009059,-0.009532,-0.003775,-0.004069,0.003055,0.003666
2020-09-15,0.005663,0.005943,-0.005015,-0.004041,-0.002638,-0.001912,0.002878,0.00401,-0.003425,-0.003326
2020-09-16,-0.005011,-0.004558,-0.002441,-0.002941,0.010244,0.009207,-0.000243,-0.00078,0.002273,0.002079
2020-09-17,-0.002229,-0.000575,0.003326,0.003324,0.003309,0.002401,-0.001884,-0.000874,0.000372,0.000413
2020-09-18,0.019593,0.018704,-0.006018,-0.005929,-0.001075,-0.000965,0.001555,-0.00031,-0.00326,-0.001973
2020-09-21,-0.006737,-0.006215,0.004218,0.004377,0.000683,0.000752,-0.004572,-0.004501,0.003159,0.002783
2020-09-22,-0.011958,-0.011641,-0.00249,-0.002112,-0.001471,-0.001736,0.004238,0.004699,-0.001388,-0.001909
2020-09-23,0.00291,0.003921,0.003627,0.003883,-0.005592,-0.005885,0.001881,0.003826,-0.00271,-0.003881
2020-09-24,-0.018997,-0.018966,-0.008453,-0.00792,0.004869,0.004582,0.003007,0.002943,-0.001934,-0.002219
2020-09-25,-0.000963,-0.001178,-0.003387,-0.003537,-0.001196,-0.001236,0.002462,0.002101,-0.003592,-0.003154
2020-09-28,-0.001653,-0.001945,-0.013095,-0.012541,0.00593,0.005926,0.007807,0.007548,-0.004713,-0.005107
2020-09-29,0.003396,0.00446,0.001924,0.001359,-0.007685,-0.008407,0.000185,0.000393,-0.000871,-0.000855
2020-09-30,-0.001077,-0.00097,-0.000109,-0.000263,-0.002831,-0.002871,0.006232,0.006442,-0.002312,-0.002885
2020-10-09,0.02077,0.021943,0.009013,0.008931,-0.009582,-0.009807,-0.002376,-0.00206,0.000457,-0.000381
2020-10-12,0.028573,0.029079,0.002058,0.002079,-0.009754,-0.009998,0.00035,0.000109,-0.002367,-0.001824
2020-10-13,0.002469,0.002839,0.001696,0.002727,-0.00558,-0.005522,0.002667,0.004393,-0.000919,-0.002262
2020-10-14,-0.006174,-0.005429,0.001026,0.000972,0.003774,0.00307,0.004071,0.005207,-0.002948,-0.002923
2020-10-15,-0.002661,0.000746,-0.003562,-0.003448,0.006027,0.005699,0.001549,0.000625,-2.4e-05,0.000432
2020-10-16,0.000548,0.000265,0.003828,0.00368,0.006535,0.005479,-0.00169,-0.0024,0.001862,0.001948
2020-10-19,-0.005804,-0.006275,0.00259,0.001688,0.004289,0.003997,-0.004556,-0.006254,0.002052,0.004121
2020-10-20,0.006939,0.007863,0.003954,0.004402,-0.011179,-0.010873,0.003417,0.003589,-0.001317,-0.000859
2020-10-21,-0.002978,-0.004008,-0.007928,-0.006239,0.007752,0.008216,0.001887,0.003251,-0.00264,-0.003281
2020-10-22,-0.003657,-0.003816,0.000936,0.000964,0.000974,0.001194,0.000601,-5.8e-05,0.001343,0.00221
2020-10-23,-0.012087,-0.012918,-0.000635,-0.001255,0.012236,0.012699,-0.004995,-0.00698,0.002319,0.003918
2020-10-26,-0.003905,-0.002967,0.006575,0.005911,-0.004606,-0.005469,0.004789,0.004513,0.000667,0.000548
2020-10-27,0.001719,0.002221,-0.001584,-0.001591,-0.006521,-0.006589,0.004647,0.006204,-0.001507,-0.002336
2020-10-28,0.004257,0.004573,-0.002643,-0.002246,-0.007218,-0.00638,0.007246,0.008476,-0.004225,-0.004032
2020-10-29,0.002832,0.003539,-0.005368,-0.005656,-0.002074,-0.003093,0.002977,0.003188,-0.003924,-0.004008
2020-10-30,-0.017672,-0.017965,-0.010722,-0.010382,0.006865,0.005363,0.004222,0.004629,-0.000752,-0.002516
2020-11-02,0.004024,0.005121,-0.001798,-0.001233,-0.001083,-0.002317,0.008563,0.009691,-0.002427,-0.003367
2020-11-03,0.01393,0.01412,0.004152,0.00371,-0.004183,-0.003476,-0.007141,-0.008472,0.003338,0.003724
2020-11-04,0.002881,0.002742,-0.005551,-0.005669,0.00062,0.000577,0.003105,0.002878,-0.001004,-0.000522
2020-11-05,0.01441,0.015026,0.001789,0.001622,-0.00266,-0.002823,6.3e-05,0.0005,0.000281,0.000269
2020-11-06,-0.00343,-0.003634,-0.00805,-0.008363,0.006452,0.006435,-0.00036,-0.001473,0.001705,0.002233
2020-11-09,0.018874,0.019935,0.000127,-0.00034,-0.008455,-0.008938,-0.003087,-0.002737,-0.002587,-0.002737
2020-11-10,-0.005668,-0.006137,-0.001973,-0.00164,0.004974,0.006558,0.002118,0.001815,-0.002705,-0.002087
2020-11-11,-0.008298,-0.010137,-0.001969,-0.00203,0.015277,0.015358,0.001307,-0.001085,0.002942,0.003675
2020-11-12,-7.2e-05,0.000525,0.002685,0.001825,-0.005374,-0.005018,0.000526,0.000762,-2.8e-05,-0.000228
2020-11-13,-0.00753,-0.006606,0.006285,0.005306,-0.003046,-0.004027,-0.005372,-0.004899,0.004226,0.004412
2020-11-16,0.010315,0.010623,5.1e-05,-0.00089,0.006453,0.006348,-0.001199,-0.001836,-0.00088,-0.00087
